datetime, WindSpeed, WindDir
2020-03-27 05.45.00,1.8596161380419347,-148.17666876554853
2020-03-27 05.46.00,1.9083115954502818,-147.8050019439441
2020-03-27 05.47.00,1.7116415583328186,-147.55000889912938
2020-03-27 05.48.00,1.8745892800018888,-151.96999584761852
2020-03-27 05.49.00,1.8235508000744043,-149.6216460389239
2020-03-27 05.50.00,1.8192766688736488,-143.73999594657738
2020-03-27 05.51.00,1.671946883092283,-139.20332914551807
2020-03-27 05.52.00,1.7564475372415767,-140.95000131155297
2020-03-27 05.53.00,1.648310325060181,-135.1899979632377
2020-03-27 05.54.00,1.6295413242118164,-137.11333177411808
2020-03-27 05.55.00,1.5221502939792113,-137.16499133065176
2020-03-27 05.56.00,1.6158070427216857,-134.80500158774618
2020-03-27 05.57.00,1.749335110145566,-136.82831250930707
2020-03-27 05.58.00,1.789696566041294,-137.82834439815042
2020-03-27 05.59.00,1.82193171360537,-139.98333615413478
2020-03-27 06.00.00,1.93247311820941,-142.95998241632523
